route,stop_name,direction
L,1 Av,
1,14 St,
2,14 St,
3,14 St,
F,14 St,
M,14 St,
L,6 Av,
A,14 St,
C,14 St,
E,14 St,
L,8 Av,
L,14 St-Union Sq,
N,14 St-Union Sq,
Q,14 St-Union Sq,
R,14 St-Union Sq,
W,14 St-Union Sq,
6,23 St,
6,28 St,S
B,34 St-Herald Sq,
D,34 St-Herald Sq,
F,34 St-Herald Sq,
M,34 St-Herald Sq,
N,34 St-Herald Sq,
Q,34 St-Herald Sq,
R,34 St-Herald Sq,
W,34 St-Herald Sq,
1,34 St-Penn Station,
2,34 St-Penn Station,
3,34 St-Penn Station,
A,34 St-Penn Station,
C,34 St-Penn Station,
E,34 St-Penn Station,
7,34 St-Hudson Yards,
A,42 St-Port Authority Bus Terminal,
C,42 St-Port Authority Bus Terminal,
E,42 St-Port Authority Bus Terminal,
B,47-50 Sts-Rockefeller Ctr,
D,47-50 Sts-Rockefeller Ctr,
F,47-50 Sts-Rockefeller Ctr,
M,47-50 Sts-Rockefeller Ctr,
N,49 St,N
R,49 St,N
W,49 St,N
C,50 St,S
E,50 St,S
N,57 St-7 Av,
Q,57 St-7 Av,
R,57 St-7 Av,
W,57 St-7 Av,
6,51 St,
A,59 St-Columbus Circle,
C,59 St-Columbus Circle,
B,59 St-Columbus Circle,
D,59 St-Columbus Circle,
1,59 St-Columbus Circle,
1,66 St-Lincoln Center,
6,68 St-Hunter College,
1,72 St,
2,72 St,
3,72 St,
Q,72 St,
6,86 St,N
Q,86 St,
1,96 St,
2,96 St,
3,96 St,
Q,96 St,
4,125 St,
5,125 St,
6,125 St,
A,125 St,
C,125 St,
B,125 St,
D,125 St,
2,135 St,
3,135 St,
A,168 St,
C,168 St,
A,175 St,
A,181 St,
6,Bleecker St,
4,Bowling Green,
5,Bowling Green,
B,Broadway-Lafayette St,
D,Broadway-Lafayette St,
F,Broadway-Lafayette St,
M,Broadway-Lafayette St,
4,Brooklyn Bridge-City Hall,
5,Brooklyn Bridge-City Hall,
6,Brooklyn Bridge-City Hall,
6,Canal St,
1,Chambers St,
2,Chambers St,
3,Chambers St,
J,Chambers St,
Z,Chambers St,
R,Cortlandt St,
W,Cortlandt St,
1,Dyckman St,
A,Fulton St,
C,Fulton St,
J,Fulton St,
Z,Fulton St,
2,Fulton St,
3,Fulton St,
4,Fulton St,
5,Fulton St,
4,Grand Central-42 St,
5,Grand Central-42 St,
6,Grand Central-42 St,
7,Grand Central-42 St,
S,Grand Central-42 St,
A,Inwood-207 St,
E,Lexington Av/53 St,
M,Lexington Av/53 St,
F,Lexington Av/63 St,
Q,Lexington Av/63 St,
F,Roosevelt Island,
1,South Ferry,
N,Times Sq-42 St,
Q,Times Sq-42 St,
R,Times Sq-42 St,
W,Times Sq-42 St,
1,Times Sq-42 St,
2,Times Sq-42 St,
3,Times Sq-42 St,
7,Times Sq-42 St,
S,Times Sq-42 St,
A,W 4 St-Wash Sq,
C,W 4 St-Wash Sq,
E,W 4 St-Wash Sq,
B,W 4 St-Wash Sq,
D,W 4 St-Wash Sq,
F,W 4 St-Wash Sq,
M,W 4 St-Wash Sq,
E,World Trade Center,
1,WTC Cortlandt,
F,7 Av,
G,7 Av,
N,8 Av,
N,59 St,
R,59 St,
D,62 St
N,New Utrecht Av,
R,86 St,
B,Atlantic Av-Barclays Ctr,
D,Atlantic Av-Barclays Ctr,
N,Atlantic Av-Barclays Ctr,
Q,Atlantic Av-Barclays Ctr,
R,Atlantic Av-Barclays Ctr,
2,Atlantic Av-Barclays Ctr,
3,Atlantic Av-Barclays Ctr,
4,Atlantic Av-Barclays Ctr,
5,Atlantic Av-Barclays Ctr,
Q,Avenue H,
D,Bay Pkwy,
R,Bay Ridge-95 St,
L,Bedford Av,
2,Borough Hall,
3,Borough Hall,
4,Borough Hall,N
5,Borough Hall,N
L,Canarsie-Rockaway Pkwysie/Rockaway Pkwy,
B,Church Av,
Q,Church Av,
2,Church Av,
5,Church Av,
F,Church Av,
G,Church Av,
D,Coney Island-Stillwell Av,
F,Coney Island-Stillwell Av,
N,Coney Island-Stillwell Av,
Q,Coney Island-Stillwell Av,
3,Crown Heights-Utica Av,
4,Crown Heights-Utica Av,
B,DeKalb Av,
Q,DeKalb Av,
R,DeKalb Av,
2,Eastern Pkwy-Brooklyn Museum,
3,Eastern Pkwy-Brooklyn Museum,
A,Euclid Av,
C,Euclid Av,
2,Flatbush Av-Brooklyn College,
5,Flatbush Av-Brooklyn College,
J,Flushing Av,
M,Flushing Av,
C,Franklin Av,
S,Franklin Av,
L,Grand St,
G,Greenpoint Av,
2,Hoyt St,S
3,Hoyt St,S
A,Jay St-MetroTech,
C,Jay St-MetroTech,
F,Jay St-MetroTech,
R,Jay St-MetroTech,
B,Kings Hwy,
Q,Kings Hwy,
L,Livonia Av,
L,Lorimer St,
J,Marcy Av,
M,Marcy Av,
Z,Marcy Av,
G,Metropolitan Av,
L,Myrtle-Wyckoff Avs,
M,Myrtle-Wyckoff Avs,
S,Park Place,
B,Prospect Park,
Q,Prospect Park,
S,Prospect Park,
A,Utica Av,
C,Utica Av,
L,Wilson Av,N
2,3 Av-149 St,
5,3 Av-149 St,
B,161 St-Yankee Stadium,
D,161 St-Yankee Stadium,
4,161 St-Yankee Stadium,
4,170 St,
1,231 St,
2,233 St,
5,233 St,
B,Bedford Park Blvd,
D,Bedford Park Blvd,
6,E 149 St,
2,E 180 St,
5,E 180 St,
4,Fordham Rd,
5,Gun Hill Rd,
2,Gun Hill Rd,
5,Gun Hill Rd,
6,Hunts Point Av,
B,Kingsbridge Rd,
D,Kingsbridge Rd,
4,Mosholu Pkwy,
6,Pelham Bay Park,
2,Pelham Pkwy,
5,Pelham Pkwy,
2,Simpson St,
5,Simpson St,
B,Tremont Av,
D,Tremont Av,
6,Westchester Sq-E Tremont Av,
F,21 St-Queensbridge,
7,61 St-Woodside,
A,Aqueduct Racetrack,
N,Astoria Blvd,
W,Astoria Blvd,
A,Beach 67 St,
G,Court Sq,
7,Court Sq,
E,Court Sq-23 St,N
M,Court Sq-23 St,N
A,Far Rockaway-Mott Av,
7,Flushing-Main St,
E,Forest Hills-71 Av,
F,Forest Hills-71 Av,
M,Forest Hills-71 Av,
R,Forest Hills-71 Av,
A,Howard Beach-JFK Airport,
E,Jackson Hts-Roosevelt Av,
F,Jackson Hts-Roosevelt Av,
M,Jackson Hts-Roosevelt Av,
R,Jackson Hts-Roosevelt Av,
7,74 St-Broadway,
F,Jamaica-179 St,
E,Jamaica Center-Parsons/Archer,
J,Jamaica Center-Parsons/Archer,
Z,Jamaica Center-Parsons/Archer,
E,Jamaica-Van Wyck,
7,Junction Blvd,
E,Kew Gardens-Union Tpke,
F,Kew Gardens-Union Tpke,
M,Northern Blvd,
R,Northern Blvd,
M,Middle Village-Metropolitan Av,
A,Ozone Park-Lefferts Blvd,
E,Queens Plaza,
M,Queens Plaza,
R,Queens Plaza,
N,Queensboro Plaza,
W,Queensboro Plaza,
7,Queensboro Plaza,
A,Rockaway Park-Beach 116 St,
H,Rockaway Park-Beach 116 St,
E,Sutphin Blvd-Archer Av-JFK Airport,
J,Sutphin Blvd-Archer Av-JFK Airport,
Z,Sutphin Blvd-Archer Av-JFK Airport,
J,Woodhaven Blvd,
Z,Woodhaven Blvd,
SIR,Arthur Kill,
SIR,Dongan Hills,
SIR,Great Kills,
SIR,New Dorp,
SIR,St George,
SIR,Tottenville,