stop_name,route
110 St-Malcolm X Plaza,2
110 St-Malcolm X Plaza,3
5 Av,7
57 St,F
Bowery,J
Bowery,Z
Canal St,J
Canal St,Z
Chambers St,A
Chambers St,C
City Hall,R
City Hall,W
Park Place,2
Park Place,3
Lexington Av/59 St,N
Lexington Av/59 St,R
Lexington Av/59 St,W
Wall St,2
Wall St,3
Seneca Av,M
15 St-Prospect Park,F
15 St-Prospect Park,G
Alabama Av,J
Alabama Av,Z
Atlantic Av,L
Clark St,2
Clark St,3
Court St,R
Crescent St,J
Crescent St,Z
Grand Army Plaza,2
Grand Army Plaza,3
Grant Av,A
High St,A
High St,C
Neptune Av,F
President St-Medgar Evers College,2
President St-Medgar Evers College,5
York St,F